run	seed	wall_clock_seconds	objective_evaluations	objective_eval_time_seconds	avg_eval_time_ms	front_size
1	1.457863	2440	0.260804	0.106887	2
2	1.536458	2419	0.293109	0.121169	4
3	1.91255	2469	0.284819	0.115358	1
4	1.640385	2453	0.264747	0.107928	2
5	1.557821	2385	0.252407	0.105831	2
6	1.49056	2396	0.266766	0.111338	20
7	1.469211	2456	0.27465	0.111828	14
8	1.340184	2459	0.262176	0.106619	8
9	1.669263	2498	0.29534	0.118231	1
10	1.651263	2417	0.287913	0.11912	20
11	2.213646	2430	0.333149	0.137098	1
12	1.488791	2357	0.273363	0.115979	18
13	1.427493	2460	0.278406	0.113173	14
14	1.5599	2459	0.288766	0.117432	20
15	1.474274	2453	0.271933	0.110857	15
16	1.641072	2409	0.281738	0.116952	1
17	1.981979	2475	0.321064	0.129723	20
18	1.714453	2424	0.318364	0.131338	18
19	1.563431	2487	0.304518	0.122444	4
20	1.357121	2443	0.258932	0.10599	9
