CT	LoadSTD	QLoss
450	48.79998	0.171061
450	52.465589	0.169818
456.8	97.03038	0.167891
460	77.568307	0.168247
475	82.417326	0.167143
476.8	118.196142	0.165978
485	77.488831	0.169781
485	145.136079	0.164756
486.2	99.710989	0.165914
486.8	151.816165	0.163175
488.6	125.256346	0.16564
496.8	71.48421	0.169422
496.8	72.016634	0.169115
496.8	72.69696	0.168999
496.8	72.712348	0.167433
496.8	73.026854	0.167248
496.8	73.769651	0.165874
496.8	80.646754	0.165852
496.8	82.127902	0.165844
496.8	88.035498	0.165425
496.8	88.304179	0.164646
496.8	100.528941	0.164631
496.8	107.340089	0.164206
496.8	108.806287	0.164183
496.8	112.685823	0.163577
496.8	115.61252	0.163404
496.8	141.239777	0.163372
496.8	148.634279	0.162985
496.8	149.391083	0.16297
496.8	153.738075	0.162153
536.3	167.483337	0.161758
541.8	149.994938	0.162803
541.8	164.464225	0.161594
545.4	176.403915	0.161581
566	146.204898	0.163156
569.3	142.94356	0.163007
570.4	184.633894	0.160963
573.1	174.983748	0.161413
610	191.268785	0.159736
640	171.369721	0.16073
868.1	273.517479	0.159087
897.2	334.926786	0.158528
1100.5000000000	383.780495	0.158451
